location,sex,age,cause_id,year,val,last_update
Middle SDI,Female,65-69 years,498,2002,14533.18344,12/31/2019
Middle SDI,Male,70-74 years,498,2002,19981.1858,12/31/2019
Middle SDI,Female,70-74 years,498,2002,21833.03746,12/31/2019
Middle SDI,Male,75-79 years,498,2002,19546.57246,12/31/2019
Middle SDI,Female,75-79 years,498,2002,24862.7166,12/31/2019
Middle SDI,Male,80+ years,498,2002,31753.18943,12/31/2019
Middle SDI,Female,80+ years,498,2002,54831.53749,12/31/2019
Middle SDI,Male,<5 years,499,2002,2017.703063,12/31/2019
Middle SDI,Female,<5 years,499,2002,1613.680179,12/31/2019
Middle SDI,Male,5-9 years,499,2002,313.3281639,12/31/2019
Middle SDI,Female,5-9 years,499,2002,265.7115119,12/31/2019
Middle SDI,Male,10-14 years,499,2002,307.7118457,12/31/2019
Middle SDI,Female,10-14 years,499,2002,310.5276228,12/31/2019
Middle SDI,Male,15-19 years,499,2002,493.9841291,12/31/2019
Middle SDI,Female,15-19 years,499,2002,252.8793296,12/31/2019
Middle SDI,Male,20-24 years,499,2002,476.4426311,12/31/2019
Middle SDI,Female,20-24 years,499,2002,295.0140659,12/31/2019
Middle SDI,Male,25-29 years,499,2002,565.5082267,12/31/2019
Middle SDI,Female,25-29 years,499,2002,387.9346322,12/31/2019
Middle SDI,Male,30-34 years,499,2002,712.2495402,12/31/2019
Middle SDI,Female,30-34 years,499,2002,454.574473,12/31/2019
Middle SDI,Male,35-39 years,499,2002,963.5406861,12/31/2019
Middle SDI,Female,35-39 years,499,2002,509.3370688,12/31/2019
Middle SDI,Male,40-44 years,499,2002,1166.310536,12/31/2019
Middle SDI,Female,40-44 years,499,2002,529.289194,12/31/2019
Middle SDI,Male,45-49 years,499,2002,1401.855258,12/31/2019
Middle SDI,Female,45-49 years,499,2002,600.5117271,12/31/2019
Middle SDI,Male,50-54 years,499,2002,1585.060516,12/31/2019
Middle SDI,Female,50-54 years,499,2002,702.5601421,12/31/2019
Middle SDI,Male,55-59 years,499,2002,1873.33874,12/31/2019
Middle SDI,Female,55-59 years,499,2002,856.2826627,12/31/2019
Middle SDI,Male,60-64 years,499,2002,2122.705617,12/31/2019
Middle SDI,Female,60-64 years,499,2002,1150.884954,12/31/2019
Middle SDI,Male,65-69 years,499,2002,2349.34852,12/31/2019
Middle SDI,Female,65-69 years,499,2002,1447.929848,12/31/2019
Middle SDI,Male,70-74 years,499,2002,2310.357415,12/31/2019
Middle SDI,Female,70-74 years,499,2002,1781.53685,12/31/2019
Middle SDI,Male,75-79 years,499,2002,2177.453497,12/31/2019
Middle SDI,Female,75-79 years,499,2002,2027.307475,12/31/2019
Middle SDI,Male,80+ years,499,2002,3741.231572,12/31/2019
Middle SDI,Female,80+ years,499,2002,5528.529663,12/31/2019
Middle SDI,Male,30-34 years,500,2002,13.44761945,12/31/2019
Middle SDI,Female,30-34 years,500,2002,15.91149658,12/31/2019
Middle SDI,Male,35-39 years,500,2002,24.41403674,12/31/2019
Middle SDI,Female,35-39 years,500,2002,18.01162056,12/31/2019
Middle SDI,Male,40-44 years,500,2002,77.87867835,12/31/2019
Middle SDI,Female,40-44 years,500,2002,89.15464284,12/31/2019
Middle SDI,Male,45-49 years,500,2002,119.6819614,12/31/2019
Middle SDI,Female,45-49 years,500,2002,138.3895032,12/31/2019
Middle SDI,Male,50-54 years,500,2002,200.5127325,12/31/2019
Middle SDI,Female,50-54 years,500,2002,213.9250054,12/31/2019
Middle SDI,Male,55-59 years,500,2002,330.1269918,12/31/2019
Middle SDI,Female,55-59 years,500,2002,385.6642588,12/31/2019
Middle SDI,Male,60-64 years,500,2002,534.6131283,12/31/2019
Middle SDI,Female,60-64 years,500,2002,673.684822,12/31/2019
Middle SDI,Male,65-69 years,500,2002,859.5562355,12/31/2019
Middle SDI,Female,65-69 years,500,2002,1131.215349,12/31/2019
Middle SDI,Male,70-74 years,500,2002,1440.394196,12/31/2019
Middle SDI,Female,70-74 years,500,2002,2108.167924,12/31/2019
Middle SDI,Male,75-79 years,500,2002,1924.270877,12/31/2019
Middle SDI,Female,75-79 years,500,2002,3163.442301,12/31/2019
Middle SDI,Male,80+ years,500,2002,6629.679625,12/31/2019
Middle SDI,Female,80+ years,500,2002,13185.96308,12/31/2019
Middle SDI,Male,40-44 years,502,2002,29.98958549,12/31/2019
Middle SDI,Female,40-44 years,502,2002,16.49011863,12/31/2019
Middle SDI,Male,45-49 years,502,2002,43.71140693,12/31/2019
Middle SDI,Female,45-49 years,502,2002,20.04845608,12/31/2019
Middle SDI,Male,50-54 years,502,2002,78.03866646,12/31/2019
Middle SDI,Female,50-54 years,502,2002,31.60953385,12/31/2019
Middle SDI,Male,55-59 years,502,2002,109.7275394,12/31/2019
Middle SDI,Female,55-59 years,502,2002,43.48382184,12/31/2019
Middle SDI,Male,60-64 years,502,2002,142.9231048,12/31/2019
Middle SDI,Female,60-64 years,502,2002,82.81177419,12/31/2019
Middle SDI,Male,65-69 years,502,2002,196.3920426,12/31/2019
Middle SDI,Female,65-69 years,502,2002,109.889768,12/31/2019
Middle SDI,Male,70-74 years,502,2002,249.7396866,12/31/2019
Middle SDI,Female,70-74 years,502,2002,147.4894182,12/31/2019
Middle SDI,Male,75-79 years,502,2002,251.2821573,12/31/2019
Middle SDI,Female,75-79 years,502,2002,205.0307293,12/31/2019
Middle SDI,Male,80+ years,502,2002,534.2478373,12/31/2019
Middle SDI,Female,80+ years,502,2002,716.8928515,12/31/2019
Middle SDI,Male,<5 years,503,2002,430.669186,12/31/2019
Middle SDI,Female,<5 years,503,2002,363.0318886,12/31/2019
Middle SDI,Male,5-9 years,503,2002,55.53983045,12/31/2019
Middle SDI,Female,5-9 years,503,2002,63.34635165,12/31/2019
Middle SDI,Male,10-14 years,503,2002,69.95641692,12/31/2019
Middle SDI,Female,10-14 years,503,2002,75.61905589,12/31/2019
Middle SDI,Male,15-19 years,503,2002,135.6865096,12/31/2019
Middle SDI,Female,15-19 years,503,2002,118.1350988,12/31/2019
Middle SDI,Male,20-24 years,503,2002,196.3868792,12/31/2019
Middle SDI,Female,20-24 years,503,2002,165.5808571,12/31/2019
Middle SDI,Male,25-29 years,503,2002,288.5099142,12/31/2019
Middle SDI,Female,25-29 years,503,2002,285.948091,12/31/2019
Middle SDI,Male,30-34 years,503,2002,348.7911523,12/31/2019
Middle SDI,Female,30-34 years,503,2002,270.4757433,12/31/2019
Middle SDI,Male,35-39 years,503,2002,391.6072282,12/31/2019
Middle SDI,Female,35-39 years,503,2002,274.5551675,12/31/2019
Middle SDI,Male,40-44 years,503,2002,429.6739678,12/31/2019
Middle SDI,Female,40-44 years,503,2002,289.5145576,12/31/2019
Middle SDI,Male,45-49 years,503,2002,382.3323735,12/31/2019
Middle SDI,Female,45-49 years,503,2002,226.4797226,12/31/2019
Middle SDI,Male,50-54 years,503,2002,363.6667025,12/31/2019
Middle SDI,Female,50-54 years,503,2002,248.1753484,12/31/2019
Middle SDI,Male,55-59 years,503,2002,357.088791,12/31/2019
Middle SDI,Female,55-59 years,503,2002,262.7378277,12/31/2019
Middle SDI,Male,60-64 years,503,2002,376.8918861,12/31/2019
Middle SDI,Female,60-64 years,503,2002,282.1326388,12/31/2019
Middle SDI,Male,65-69 years,503,2002,442.2088374,12/31/2019
Middle SDI,Female,65-69 years,503,2002,386.2673345,12/31/2019
Middle SDI,Male,70-74 years,503,2002,426.5337078,12/31/2019
Middle SDI,Female,70-74 years,503,2002,426.2879054,12/31/2019
Middle SDI,Male,75-79 years,503,2002,367.9197761,12/31/2019
Middle SDI,Female,75-79 years,503,2002,410.2134576,12/31/2019
Middle SDI,Male,80+ years,503,2002,514.6536129,12/31/2019
Middle SDI,Female,80+ years,503,2002,824.3286353,12/31/2019
Middle SDI,Male,15-19 years,504,2002,108.0014181,12/31/2019
Middle SDI,Female,15-19 years,504,2002,108.7776423,12/31/2019
Middle SDI,Male,20-24 years,504,2002,116.6499566,12/31/2019
Middle SDI,Female,20-24 years,504,2002,108.7603935,12/31/2019
Middle SDI,Male,25-29 years,504,2002,119.5063862,12/31/2019
Middle SDI,Female,25-29 years,504,2002,136.1970136,12/31/2019
Middle SDI,Male,30-34 years,504,2002,146.3084851,12/31/2019
Middle SDI,Female,30-34 years,504,2002,129.5943892,12/31/2019
Middle SDI,Male,35-39 years,504,2002,202.7344995,12/31/2019
Middle SDI,Female,35-39 years,504,2002,169.1106306,12/31/2019
Middle SDI,Male,40-44 years,504,2002,235.0542138,12/31/2019
Middle SDI,Female,40-44 years,504,2002,175.8193644,12/31/2019
Middle SDI,Male,45-49 years,504,2002,282.7211779,12/31/2019
Middle SDI,Female,45-49 years,504,2002,196.5449214,12/31/2019
Middle SDI,Male,50-54 years,504,2002,368.4857715,12/31/2019
Middle SDI,Female,50-54 years,504,2002,253.2704152,12/31/2019
Middle SDI,Male,55-59 years,504,2002,424.186893,12/31/2019
Middle SDI,Female,55-59 years,504,2002,313.8449273,12/31/2019
Middle SDI,Male,60-64 years,504,2002,490.2725779,12/31/2019
Middle SDI,Female,60-64 years,504,2002,412.3524146,12/31/2019
Middle SDI,Male,65-69 years,504,2002,637.6568766,12/31/2019
Middle SDI,Female,65-69 years,504,2002,536.4519585,12/31/2019
Middle SDI,Male,70-74 years,504,2002,646.8694021,12/31/2019
Middle SDI,Female,70-74 years,504,2002,681.4493804,12/31/2019
Middle SDI,Male,75-79 years,504,2002,617.429052,12/31/2019
Middle SDI,Female,75-79 years,504,2002,719.6014521,12/31/2019
Middle SDI,Male,80+ years,504,2002,865.009156,12/31/2019
Middle SDI,Female,80+ years,504,2002,1453.176279,12/31/2019
Low SDI,Male,<5 years,492,2001,732.8439078,12/31/2019
Low SDI,Female,<5 years,492,2001,780.1714382,12/31/2019
Low SDI,Male,5-9 years,492,2001,304.7532095,12/31/2019
Low SDI,Female,5-9 years,492,2001,384.0144252,12/31/2019
Low SDI,Male,10-14 years,492,2001,548.3331254,12/31/2019
Low SDI,Female,10-14 years,492,2001,459.6868433,12/31/2019
Low SDI,Male,15-19 years,492,2001,1002.470007,12/31/2019
Low SDI,Female,15-19 years,492,2001,773.9350072,12/31/2019
Low SDI,Male,20-24 years,492,2001,942.8054652,12/31/2019
Low SDI,Female,20-24 years,492,2001,1014.151576,12/31/2019
Low SDI,Male,25-29 years,492,2001,883.5672723,12/31/2019
Low SDI,Female,25-29 years,492,2001,1079.880899,12/31/2019
Low SDI,Male,30-34 years,492,2001,885.1390222,12/31/2019
Low SDI,Female,30-34 years,492,2001,1257.696494,12/31/2019
Low SDI,Male,35-39 years,492,2001,993.1483781,12/31/2019
Low SDI,Female,35-39 years,492,2001,1383.633303,12/31/2019
Low SDI,Male,40-44 years,492,2001,1317.948363,12/31/2019
Low SDI,Female,40-44 years,492,2001,1638.769185,12/31/2019
Low SDI,Male,45-49 years,492,2001,1142.062163,12/31/2019
Low SDI,Female,45-49 years,492,2001,1608.721926,12/31/2019
Low SDI,Male,50-54 years,492,2001,1453.633313,12/31/2019
